Date,Predicted Sales
2017-12-31,3100.68
2018-01-01,1330.74
2018-01-02,1322.64
2018-01-03,1314.54
2018-01-04,1306.44
2018-01-05,1298.34
2018-01-06,1290.24
2018-01-07,1282.14
2018-01-08,1317.92
2018-01-09,1309.82
2018-01-10,1301.73
2018-01-11,1293.63
2018-01-12,1285.53
2018-01-13,1277.43
2018-01-14,1269.33
2018-01-15,1305.11
2018-01-16,1297.01
2018-01-17,1288.91
2018-01-18,1280.81
2018-01-19,1272.71
2018-01-20,1264.61
2018-01-21,1256.52
2018-01-22,1292.3
2018-01-23,1284.2
2018-01-24,1276.1
2018-01-25,1268.0
2018-01-26,1259.9
2018-01-27,1251.8
2018-01-28,1243.7
2018-01-29,1279.48
2018-01-30,1271.39
2018-01-31,1263.29
2018-02-01,1753.83
2018-02-02,1745.73
2018-02-03,1737.63
2018-02-04,1729.53
2018-02-05,1765.31
2018-02-06,1757.21
2018-02-07,1749.11
2018-02-08,1741.01
2018-02-09,1732.91
2018-02-10,1724.81
2018-02-11,1716.72
2018-02-12,1752.5
2018-02-13,1744.4
2018-02-14,1736.3
2018-02-15,1728.2
2018-02-16,1720.1
2018-02-17,1712.0
2018-02-18,1703.9
2018-02-19,1739.68
2018-02-20,1731.59
2018-02-21,1723.49
2018-02-22,1715.39
2018-02-23,1707.29
2018-02-24,1699.19
2018-02-25,1691.09
2018-02-26,1726.87
2018-02-27,1718.77
2018-02-28,1710.67
2018-03-01,2201.21
2018-03-02,2193.11
2018-03-03,2185.01
2018-03-04,2176.92
2018-03-05,2212.7
2018-03-06,2204.6
2018-03-07,2196.5
2018-03-08,2188.4
2018-03-09,2180.3
2018-03-10,2172.2
2018-03-11,2164.1
2018-03-12,2199.88
2018-03-13,2191.79
2018-03-14,2183.69
2018-03-15,2175.59
2018-03-16,2167.49
2018-03-17,2159.39
2018-03-18,2151.29
2018-03-19,2187.07
2018-03-20,2178.97
2018-03-21,2170.87
2018-03-22,2162.77
2018-03-23,2154.67
2018-03-24,2146.58
2018-03-25,2138.48
2018-03-26,2174.26
2018-03-27,2166.16
2018-03-28,2158.06
2018-03-29,2149.96
2018-03-30,2141.86
